dataset,algorithm,minsup,minsup_ratio,itemsets
chess,basic,2558,0.8003754693366708,0
chess,optimized,2558,0.8003754693366708,0
chess,basic,2397,0.75,20993
chess,optimized,2397,0.75,20993
chess,basic,2237,0.6999374217772215,48969
chess,optimized,2237,0.6999374217772215,48969
chess,basic,2077,0.649874843554443,111778
chess,optimized,2077,0.649874843554443,111778
chess,basic,1918,0.600125156445557,254944
chess,optimized,1918,0.600125156445557,254944
chess,basic,1758,0.5500625782227785,574998
chess,optimized,1758,0.5500625782227785,574998
mushroom,basic,4062,0.5,0
mushroom,optimized,4062,0.5,0
mushroom,basic,3656,0.4500246184145741,0
mushroom,optimized,3656,0.4500246184145741,0
mushroom,basic,3249,0.3999261447562777,0
mushroom,optimized,3249,0.3999261447562777,0
mushroom,basic,2843,0.3499507631708518,0
mushroom,optimized,2843,0.3499507631708518,0
mushroom,basic,2437,0.2999753815854259,2735
mushroom,optimized,2437,0.2999753815854259,2735
mushroom,basic,2031,0.25,5545
mushroom,optimized,2031,0.25,5545
