dataset,algorithm,minsup,minsup_ratio,itemsets,elapsed_seconds,elapsed_ms,output_file,status
chess,basic,2558,0.8003754693366708,8190,0.7139999866485596,713.9999866485596,Y:\Python\PrePost\outputs\our\chess_basic_minsup2558.out,OK
chess,optimized,2558,0.8003754693366708,8190,0.07200002670288086,72.00002670288086,Y:\Python\PrePost\outputs\our\chess_optimized_minsup2558.out,OK
chess,spmf_PrePost,2558,0.8003754693366708,8190,0.3567073,356.70730000000003,Y:\Python\PrePost\outputs\spmf\chess_spmf_minsup2558.out,OK
chess,basic,2397,0.75,20993,0.4609999656677246,460.9999656677246,Y:\Python\PrePost\outputs\our\chess_basic_minsup2397.out,OK
chess,optimized,2397,0.75,20993,0.2329998016357422,232.9998016357422,Y:\Python\PrePost\outputs\our\chess_optimized_minsup2397.out,OK
chess,spmf_PrePost,2397,0.75,20993,0.3735115,373.5115,Y:\Python\PrePost\outputs\spmf\chess_spmf_minsup2397.out,OK
chess,basic,2237,0.6999374217772215,48969,1.3989999294281006,1398.9999294281006,Y:\Python\PrePost\outputs\our\chess_basic_minsup2237.out,OK
chess,optimized,2237,0.6999374217772215,48969,0.942000150680542,942.000150680542,Y:\Python\PrePost\outputs\our\chess_optimized_minsup2237.out,OK
chess,spmf_PrePost,2237,0.6999374217772215,48969,0.3907287,390.7287,Y:\Python\PrePost\outputs\spmf\chess_spmf_minsup2237.out,OK
chess,basic,2077,0.649874843554443,111778,3.924999952316284,3924.999952316284,Y:\Python\PrePost\outputs\our\chess_basic_minsup2077.out,OK
chess,optimized,2077,0.649874843554443,111778,3.562999963760376,3562.999963760376,Y:\Python\PrePost\outputs\our\chess_optimized_minsup2077.out,OK
chess,spmf_PrePost,2077,0.649874843554443,111778,0.4450172,445.0172,Y:\Python\PrePost\outputs\spmf\chess_spmf_minsup2077.out,OK
chess,basic,1918,0.600125156445557,254944,14.336999893188477,14336.999893188477,Y:\Python\PrePost\outputs\our\chess_basic_minsup1918.out,OK
chess,optimized,1918,0.600125156445557,254944,13.32200002670288,13322.00002670288,Y:\Python\PrePost\outputs\our\chess_optimized_minsup1918.out,OK
chess,spmf_PrePost,1918,0.600125156445557,254944,0.5070287,507.0287,Y:\Python\PrePost\outputs\spmf\chess_spmf_minsup1918.out,OK
chess,basic,1758,0.5500625782227785,574998,56.12400007247925,56124.00007247925,Y:\Python\PrePost\outputs\our\chess_basic_minsup1758.out,OK
chess,optimized,1758,0.5500625782227785,574998,52.598999977111816,52598.99997711182,Y:\Python\PrePost\outputs\our\chess_optimized_minsup1758.out,OK
chess,spmf_PrePost,1758,0.5500625782227785,574998,0.5822971,582.2971,Y:\Python\PrePost\outputs\spmf\chess_spmf_minsup1758.out,OK
mushroom,basic,4062,0.5,153,0.01399993896484375,13.99993896484375,Y:\Python\PrePost\outputs\our\mushroom_basic_minsup4062.out,OK
mushroom,optimized,4062,0.5,153,0.014999866485595703,14.999866485595703,Y:\Python\PrePost\outputs\our\mushroom_optimized_minsup4062.out,OK
mushroom,spmf_PrePost,4062,0.5,153,0.3546479,354.6479,Y:\Python\PrePost\outputs\spmf\mushroom_spmf_minsup4062.out,OK
mushroom,basic,3656,0.4500246184145741,329,0.019999980926513672,19.999980926513672,Y:\Python\PrePost\outputs\our\mushroom_basic_minsup3656.out,OK
mushroom,optimized,3656,0.4500246184145741,329,0.017999887466430664,17.999887466430664,Y:\Python\PrePost\outputs\our\mushroom_optimized_minsup3656.out,OK
mushroom,spmf_PrePost,3656,0.4500246184145741,329,0.3718368,371.83680000000004,Y:\Python\PrePost\outputs\spmf\mushroom_spmf_minsup3656.out,OK
mushroom,basic,3249,0.3999261447562777,565,0.0969998836517334,96.9998836517334,Y:\Python\PrePost\outputs\our\mushroom_basic_minsup3249.out,OK
mushroom,optimized,3249,0.3999261447562777,565,0.016000032424926758,16.000032424926758,Y:\Python\PrePost\outputs\our\mushroom_optimized_minsup3249.out,OK
mushroom,spmf_PrePost,3249,0.3999261447562777,565,0.3624072,362.4072,Y:\Python\PrePost\outputs\spmf\mushroom_spmf_minsup3249.out,OK
