dataset,algorithm,subset_ratio,transactions,minsup_ratio,minsup,itemsets,elapsed_seconds,elapsed_ms,status
retail,optimized,0.1,8816,0.005,44,718,0.45399999618530273,453.99999618530273,OK
retail,spmf_PrePost,0.1,8816,0.005,44,718,0.4108494,410.8494,OK
retail,optimized,0.25,22040,0.005,110,672,0.38899993896484375,388.99993896484375,OK
retail,spmf_PrePost,0.25,22040,0.005,110,672,0.4664026,466.4026,OK
retail,optimized,0.5,44081,0.005,220,617,0.8429999351501465,842.9999351501465,OK
retail,spmf_PrePost,0.5,44081,0.005,220,617,0.5678479,567.8479,OK
retail,optimized,0.75,66122,0.005,331,544,1.3859999179840088,1385.9999179840088,OK
retail,spmf_PrePost,0.75,66122,0.005,331,544,0.662441,662.4409999999999,OK
retail,optimized,1.0,88162,0.005,441,580,2.5799999237060547,2579.9999237060547,OK
retail,spmf_PrePost,1.0,88162,0.005,441,580,0.7521615,752.1615,OK
