3 #SUP: 2839
5 #SUP: 2971
7 #SUP: 3076
9 #SUP: 2874
11 #SUP: 2129
15 #SUP: 2026
17 #SUP: 2500
19 #SUP: 1980
21 #SUP: 2225
23 #SUP: 1817
25 #SUP: 2860
27 #SUP: 2205
29 #SUP: 3181
31 #SUP: 2526
34 #SUP: 3040
36 #SUP: 3099
38 #SUP: 2196
40 #SUP: 3170
42 #SUP: 2714
44 #SUP: 2612
46 #SUP: 2556
48 #SUP: 3013
50 #SUP: 1975
52 #SUP: 3185
54 #SUP: 2216
56 #SUP: 3021
58 #SUP: 3195
60 #SUP: 3149
62 #SUP: 3060
64 #SUP: 2631
66 #SUP: 3021
68 #SUP: 1984
70 #SUP: 2007
72 #SUP: 2345
74 #SUP: 2407
3 5 #SUP: 2639
3 7 #SUP: 2765
3 9 #SUP: 2571
3 11 #SUP: 1909
3 15 #SUP: 1857
3 17 #SUP: 2272
3 19 #SUP: 1788
3 21 #SUP: 1954
3 23 #SUP: 1778
3 25 #SUP: 2520
3 27 #SUP: 1952
3 29 #SUP: 2839
3 31 #SUP: 2360
3 34 #SUP: 2706
3 36 #SUP: 2746
3 38 #SUP: 1919
3 40 #SUP: 2813
3 42 #SUP: 2411
3 44 #SUP: 2268
3 46 #SUP: 2251
3 48 #SUP: 2672
3 50 #SUP: 1798
3 52 #SUP: 2830
3 54 #SUP: 1859
3 56 #SUP: 2704
3 58 #SUP: 2839
3 60 #SUP: 2805
3 62 #SUP: 2724
3 64 #SUP: 2353
3 66 #SUP: 2703
3 70 #SUP: 1845
3 72 #SUP: 2175
3 74 #SUP: 2050
5 7 #SUP: 2859
5 9 #SUP: 2683
5 11 #SUP: 1924
5 15 #SUP: 1801
5 17 #SUP: 2275
5 19 #SUP: 1809
5 21 #SUP: 2089
5 25 #SUP: 2649
5 27 #SUP: 1993
5 29 #SUP: 2964
5 31 #SUP: 2367
5 34 #SUP: 2889
5 36 #SUP: 2874
5 38 #SUP: 2139
5 40 #SUP: 2950
5 42 #SUP: 2562
5 44 #SUP: 2461
5 46 #SUP: 2385
5 48 #SUP: 2788
5 50 #SUP: 1837
5 52 #SUP: 2960
5 54 #SUP: 2066
5 56 #SUP: 2803
5 58 #SUP: 2970
5 60 #SUP: 2924
5 62 #SUP: 2859
5 64 #SUP: 2489
5 66 #SUP: 2832
5 68 #SUP: 1853
5 70 #SUP: 1944
5 72 #SUP: 2204
5 74 #SUP: 2240
7 9 #SUP: 2755
7 11 #SUP: 2050
7 15 #SUP: 1993
7 17 #SUP: 2422
7 19 #SUP: 1902
7 21 #SUP: 2163
7 25 #SUP: 2743
7 27 #SUP: 2134
7 29 #SUP: 3069
7 31 #SUP: 2435
7 34 #SUP: 2930
7 36 #SUP: 2979
7 38 #SUP: 2124
7 40 #SUP: 3050
7 42 #SUP: 2603
7 44 #SUP: 2500
7 46 #SUP: 2436
7 48 #SUP: 2893
7 50 #SUP: 1975
7 52 #SUP: 3065
7 54 #SUP: 2131
7 56 #SUP: 2919
7 58 #SUP: 3075
7 60 #SUP: 3031
7 62 #SUP: 2940
7 64 #SUP: 2518
7 66 #SUP: 2906
7 68 #SUP: 1913
7 70 #SUP: 1991
7 72 #SUP: 2246
7 74 #SUP: 2321
9 11 #SUP: 1975
9 15 #SUP: 1806
9 17 #SUP: 2280
9 19 #SUP: 1784
9 21 #SUP: 1990
9 25 #SUP: 2543
9 27 #SUP: 1994
9 29 #SUP: 2866
9 31 #SUP: 2269
9 34 #SUP: 2753
9 36 #SUP: 2777
9 38 #SUP: 2017
9 40 #SUP: 2852
9 42 #SUP: 2446
9 44 #SUP: 2353
9 46 #SUP: 2266
9 48 #SUP: 2691
9 50 #SUP: 1806
9 52 #SUP: 2866
9 54 #SUP: 2007
9 56 #SUP: 2752
9 58 #SUP: 2873
9 60 #SUP: 2835
9 62 #SUP: 2750
9 64 #SUP: 2365
9 66 #SUP: 2715
9 68 #SUP: 1798
9 70 #SUP: 1917
9 72 #SUP: 2085
9 74 #SUP: 2186
11 17 #SUP: 1825
11 25 #SUP: 1800
11 29 #SUP: 2114
11 34 #SUP: 2005
11 36 #SUP: 2032
11 40 #SUP: 2103
11 48 #SUP: 1946
11 52 #SUP: 2118
11 56 #SUP: 2037
11 58 #SUP: 2128
11 60 #SUP: 2089
11 62 #SUP: 2026
11 66 #SUP: 1981
15 17 #SUP: 1943
15 25 #SUP: 1764
15 29 #SUP: 2014
15 34 #SUP: 1914
15 36 #SUP: 1939
15 40 #SUP: 2000
15 48 #SUP: 1899
15 52 #SUP: 2015
15 56 #SUP: 1897
15 58 #SUP: 2025
15 60 #SUP: 2015
15 62 #SUP: 1900
15 66 #SUP: 1921
17 19 #SUP: 1980
17 21 #SUP: 1897
17 25 #SUP: 2192
17 29 #SUP: 2486
17 31 #SUP: 1979
17 34 #SUP: 2376
17 36 #SUP: 2404
17 40 #SUP: 2474
17 42 #SUP: 2114
17 44 #SUP: 1943
17 46 #SUP: 1980
17 48 #SUP: 2339
17 52 #SUP: 2489
17 56 #SUP: 2362
17 58 #SUP: 2499
17 60 #SUP: 2457
17 62 #SUP: 2368
17 64 #SUP: 1975
17 66 #SUP: 2349
17 72 #SUP: 1828
17 74 #SUP: 1875
19 29 #SUP: 1966
19 34 #SUP: 1883
19 36 #SUP: 1898
19 40 #SUP: 1956
19 46 #SUP: 1980
19 48 #SUP: 1844
19 52 #SUP: 1969
19 56 #SUP: 1862
19 58 #SUP: 1979
19 60 #SUP: 1943
19 62 #SUP: 1875
19 66 #SUP: 1867
21 25 #SUP: 1987
21 29 #SUP: 2210
21 34 #SUP: 2113
21 36 #SUP: 2171
21 40 #SUP: 2199
21 42 #SUP: 1891
21 44 #SUP: 1869
21 48 #SUP: 2097
21 52 #SUP: 2215
21 56 #SUP: 2081
21 58 #SUP: 2224
21 60 #SUP: 2182
21 62 #SUP: 2095
21 66 #SUP: 2093
23 29 #SUP: 1810
23 36 #SUP: 1782
23 40 #SUP: 1815
23 52 #SUP: 1817
23 58 #SUP: 1817
23 60 #SUP: 1770
23 64 #SUP: 1776
25 27 #SUP: 1976
25 29 #SUP: 2848
