1 #SUP: 3916
2 #SUP: 4208
3 #SUP: 3656
6 #SUP: 3152
7 #SUP: 828
9 #SUP: 2556
10 #SUP: 3244
11 #SUP: 2320
13 #SUP: 2284
14 #SUP: 1072
15 #SUP: 1040
16 #SUP: 1840
17 #SUP: 1500
23 #SUP: 3376
24 #SUP: 4748
28 #SUP: 3528
29 #SUP: 2160
34 #SUP: 7914
36 #SUP: 6812
37 #SUP: 1312
38 #SUP: 2512
39 #SUP: 5612
41 #SUP: 1048
43 #SUP: 1492
44 #SUP: 1202
48 #SUP: 1728
52 #SUP: 3516
53 #SUP: 4608
54 #SUP: 1120
56 #SUP: 3776
58 #SUP: 2480
59 #SUP: 5176
61 #SUP: 2372
63 #SUP: 4936
66 #SUP: 2304
67 #SUP: 4464
69 #SUP: 1872
76 #SUP: 4384
77 #SUP: 1872
85 #SUP: 8124
86 #SUP: 7924
90 #SUP: 7488
93 #SUP: 3968
94 #SUP: 2776
95 #SUP: 1296
98 #SUP: 1872
99 #SUP: 1968
101 #SUP: 1632
102 #SUP: 2388
107 #SUP: 1248
110 #SUP: 4040
111 #SUP: 1712
114 #SUP: 2148
116 #SUP: 3148
117 #SUP: 1144
119 #SUP: 832
1 3 #SUP: 1708
1 6 #SUP: 1556
1 9 #SUP: 1412
1 10 #SUP: 1740
1 13 #SUP: 1020
1 17 #SUP: 876
1 24 #SUP: 3292
1 29 #SUP: 2160
1 34 #SUP: 3898
1 36 #SUP: 3804
1 38 #SUP: 2224
1 39 #SUP: 1692
1 48 #SUP: 1728
1 52 #SUP: 1900
1 53 #SUP: 2016
1 56 #SUP: 1856
1 58 #SUP: 1760
1 59 #SUP: 1536
1 61 #SUP: 2228
1 63 #SUP: 1536
1 66 #SUP: 2160
1 67 #SUP: 1712
1 69 #SUP: 1296
1 76 #SUP: 1680
1 77 #SUP: 1296
1 85 #SUP: 3916
1 86 #SUP: 3908
1 90 #SUP: 3808
1 93 #SUP: 816
1 94 #SUP: 1768
1 95 #SUP: 1296
1 101 #SUP: 1584
1 102 #SUP: 1812
1 110 #SUP: 2848
1 116 #SUP: 1268
1 117 #SUP: 1008
2 3 #SUP: 1948
2 6 #SUP: 1596
2 9 #SUP: 1144
2 10 #SUP: 1504
2 11 #SUP: 1560
2 13 #SUP: 1264
2 16 #SUP: 1032
2 23 #SUP: 2752
2 24 #SUP: 1456
2 28 #SUP: 3408
2 34 #SUP: 4016
2 36 #SUP: 3008
2 37 #SUP: 1200
2 39 #SUP: 3920
2 41 #SUP: 936
2 43 #SUP: 852
2 44 #SUP: 956
2 52 #SUP: 1616
2 53 #SUP: 2592
2 54 #SUP: 864
2 56 #SUP: 1920
2 59 #SUP: 3640
2 63 #SUP: 3400
2 67 #SUP: 2752
2 76 #SUP: 2704
2 85 #SUP: 4208
2 86 #SUP: 4016
2 90 #SUP: 3680
2 93 #SUP: 3152
2 94 #SUP: 1008
2 98 #SUP: 1648
2 99 #SUP: 1744
2 107 #SUP: 880
2 110 #SUP: 1192
2 111 #SUP: 1064
2 114 #SUP: 1408
2 116 #SUP: 1880
3 9 #SUP: 1074
3 10 #SUP: 1422
3 11 #SUP: 1160
3 13 #SUP: 920
3 16 #SUP: 920
3 23 #SUP: 1616
3 24 #SUP: 2040
3 28 #SUP: 1556
3 29 #SUP: 984
3 34 #SUP: 3602
3 36 #SUP: 3016
3 38 #SUP: 1024
3 39 #SUP: 2632
3 52 #SUP: 1640
3 53 #SUP: 2016
3 56 #SUP: 1932
3 58 #SUP: 816
3 59 #SUP: 2376
3 61 #SUP: 1004
3 63 #SUP: 2256
3 66 #SUP: 984
3 67 #SUP: 2048
3 76 #SUP: 2024
3 85 #SUP: 3656
3 86 #SUP: 3608
3 90 #SUP: 3464
3 93 #SUP: 1924
3 94 #SUP: 1048
3 98 #SUP: 976
3 99 #SUP: 1012
3 101 #SUP: 816
3 110 #SUP: 1696
3 111 #SUP: 844
3 114 #SUP: 1008
3 116 #SUP: 1558
6 9 #SUP: 820
6 10 #SUP: 1315
6 11 #SUP: 1016
6 13 #SUP: 920
6 23 #SUP: 1398
6 24 #SUP: 1754
6 28 #SUP: 1500
6 29 #SUP: 984
6 34 #SUP: 3098
6 36 #SUP: 2700
6 38 #SUP: 836
6 39 #SUP: 2316
6 52 #SUP: 1136
6 53 #SUP: 2016
6 56 #SUP: 1778
6 59 #SUP: 1918
6 61 #SUP: 956
6 63 #SUP: 1798
6 66 #SUP: 936
6 67 #SUP: 1542
6 76 #SUP: 1518
6 85 #SUP: 3152
6 86 #SUP: 3102
6 90 #SUP: 3020
6 93 #SUP: 1418
6 94 #SUP: 1050
6 101 #SUP: 816
6 110 #SUP: 1636
6 111 #SUP: 844
6 116 #SUP: 1366
7 85 #SUP: 828
9 13 #SUP: 852
9 23 #SUP: 868
9 24 #SUP: 1688
9 28 #SUP: 876
9 34 #SUP: 2364
9 36 #SUP: 1932
9 38 #SUP: 1136
9 39 #SUP: 1420
9 48 #SUP: 864
9 52 #SUP: 972
9 53 #SUP: 1584
9 58 #SUP: 1296
9 59 #SUP: 1708
9 63 #SUP: 1708
9 67 #SUP: 1876
9 76 #SUP: 1876
9 85 #SUP: 2556
9 86 #SUP: 2364
9 90 #SUP: 2256
9 93 #SUP: 1212
9 94 #SUP: 1344
9 102 #SUP: 1128
9 110 #SUP: 1308
9 114 #SUP: 882
10 13 #SUP: 948
10 23 #SUP: 1592
10 24 #SUP: 1652
10 28 #SUP: 1120
10 29 #SUP: 936
10 34 #SUP: 3226
10 36 #SUP: 3208
10 38 #SUP: 1092
10 39 #SUP: 2152
10 48 #SUP: 864
10 52 #SUP: 1516
10 53 #SUP: 1728
10 56 #SUP: 1600
10 58 #SUP: 1024
10 59 #SUP: 2084
10 61 #SUP: 1132
10 63 #SUP: 1844
10 66 #SUP: 1080
10 67 #SUP: 1488
10 69 #SUP: 936
10 76 #SUP: 1448
10 77 #SUP: 936
10 85 #SUP: 3244
10 86 #SUP: 3236
10 90 #SUP: 3052
10 93 #SUP: 1504
10 94 #SUP: 1008
10 102 #SUP: 1072
10 110 #SUP: 1792
10 111 #SUP: 892
10 116 #SUP: 1472
11 16 #SUP: 892
11 23 #SUP: 912
11 24 #SUP: 1408
11 28 #SUP: 1528
11 34 #SUP: 2320
11 36 #SUP: 1672
11 39 #SUP: 2040
11 52 #SUP: 1024
11 53 #SUP: 1296
11 56 #SUP: 1680
11 59 #SUP: 1380
11 63 #SUP: 1380
11 67 #SUP: 1096
11 76 #SUP: 1056
11 85 #SUP: 2320
11 86 #SUP: 2320
11 90 #SUP: 2176
11 93 #SUP: 1248
11 110 #SUP: 940
11 116 #SUP: 1240
13 23 #SUP: 856
13 24 #SUP: 1428
13 28 #SUP: 1184
13 34 #SUP: 2086
13 36 #SUP: 2004
13 38 #SUP: 1080
13 39 #SUP: 1204
13 48 #SUP: 864
13 53 #SUP: 1696
13 58 #SUP: 1120
13 59 #SUP: 1668
13 63 #SUP: 1572
13 67 #SUP: 1224
13 76 #SUP: 1184
13 85 #SUP: 2284
13 86 #SUP: 2092
13 90 #SUP: 2200
13 93 #SUP: 1064
13 94 #SUP: 1208
13 102 #SUP: 988
13 110 #SUP: 1380
13 116 #SUP: 900
14 34 #SUP: 1072
14 36 #SUP: 1016
14 39 #SUP: 1000
14 52 #SUP: 1024
14 85 #SUP: 1072
14 86 #SUP: 1064
14 90 #SUP: 1072
15 34 #SUP: 1040
15 67 #SUP: 1040
15 76 #SUP: 1040
15 85 #SUP: 1040
15 86 #SUP: 1040
15 90 #SUP: 872
16 24 #SUP: 1160
16 28 #SUP: 1032
16 34 #SUP: 1840
16 36 #SUP: 1408
16 39 #SUP: 1728
16 52 #SUP: 912
16 53 #SUP: 928
16 56 #SUP: 1392
16 59 #SUP: 944
16 63 #SUP: 944
16 85 #SUP: 1840
16 86 #SUP: 1840
16 90 #SUP: 1688
16 93 #SUP: 936
16 116 #SUP: 856
17 24 #SUP: 876
17 34 #SUP: 1494
17 36 #SUP: 1500
17 38 #SUP: 864
17 48 #SUP: 864
17 53 #SUP: 1440
17 58 #SUP: 912
17 59 #SUP: 1056
17 63 #SUP: 1056
17 85 #SUP: 1500
17 86 #SUP: 1500
17 90 #SUP: 1440
17 94 #SUP: 912
17 102 #SUP: 924
17 110 #SUP: 1152
17 116 #SUP: 876
23 28 #SUP: 2032
23 34 #SUP: 3376
23 36 #SUP: 3272
23 39 #SUP: 3016
23 44 #SUP: 976
23 52 #SUP: 1264
23 53 #SUP: 2112
23 56 #SUP: 2224
23 59 #SUP: 3232
23 63 #SUP: 3040
23 67 #SUP: 2128
23 76 #SUP: 2128
23 85 #SUP: 3376
23 86 #SUP: 3376
23 90 #SUP: 3080
23 93 #SUP: 3184
23 98 #SUP: 1344
23 99 #SUP: 1392
23 110 #SUP: 1320
23 111 #SUP: 976
23 116 #SUP: 1824
24 28 #SUP: 1496
24 29 #SUP: 1872
24 34 #SUP: 4538
24 36 #SUP: 3540
24 37 #SUP: 1208
24 38 #SUP: 2152
24 39 #SUP: 2596
24 48 #SUP: 1728
24 52 #SUP: 2252
24 53 #SUP: 2496
24 54 #SUP: 864
24 56 #SUP: 1552
24 58 #SUP: 2288
24 59 #SUP: 1944
24 61 #SUP: 2372
24 63 #SUP: 1896
24 66 #SUP: 2304
24 67 #SUP: 2336
24 69 #SUP: 1296
24 76 #SUP: 2256
24 77 #SUP: 1296
24 85 #SUP: 4748
24 86 #SUP: 4548
24 90 #SUP: 4408
24 94 #SUP: 2584
24 95 #SUP: 1296
24 101 #SUP: 1344
24 102 #SUP: 2156
24 110 #SUP: 2720
24 114 #SUP: 1488
24 116 #SUP: 1324
24 117 #SUP: 1016
24 119 #SUP: 824
28 34 #SUP: 3336
28 36 #SUP: 2408
28 37 #SUP: 1120
28 39 #SUP: 3288
28 52 #SUP: 1032
28 53 #SUP: 2496
28 54 #SUP: 864
28 56 #SUP: 1904
28 59 #SUP: 2920
28 63 #SUP: 2872
28 67 #SUP: 2064
28 76 #SUP: 1984
28 85 #SUP: 3528
28 86 #SUP: 3328
28 90 #SUP: 2928
28 93 #SUP: 2432
28 94 #SUP: 1048
28 98 #SUP: 1296
28 99 #SUP: 1344
28 110 #SUP: 1200
28 111 #SUP: 968
28 114 #SUP: 1092
28 116 #SUP: 1816
29 34 #SUP: 2160
29 36 #SUP: 2160
29 39 #SUP: 1584
29 52 #SUP: 1296
29 53 #SUP: 864
29 56 #SUP: 1584
29 61 #SUP: 1584
29 66 #SUP: 1584
29 85 #SUP: 2160
29 86 #SUP: 2160
29 90 #SUP: 2160
29 95 #SUP: 1296
29 101 #SUP: 1584
29 110 #SUP: 1368
34 36 #SUP: 6602
34 37 #SUP: 1312
34 38 #SUP: 2512
34 39 #SUP: 5402
34 41 #SUP: 984
34 43 #SUP: 1492
34 44 #SUP: 1193
34 48 #SUP: 1728
34 52 #SUP: 3306
34 53 #SUP: 4608
34 54 #SUP: 1120
34 56 #SUP: 3776
34 58 #SUP: 2288
34 59 #SUP: 4984
34 61 #SUP: 2354
34 63 #SUP: 4744
34 66 #SUP: 2304
34 67 #SUP: 4464
34 69 #SUP: 1872
34 76 #SUP: 4384
34 77 #SUP: 1872
34 85 #SUP: 7914
34 86 #SUP: 7906
34 90 #SUP: 7296
34 93 #SUP: 3776
34 94 #SUP: 2776
34 95 #SUP: 1296
34 98 #SUP: 1872
34 99 #SUP: 1920
34 101 #SUP: 1632
34 102 #SUP: 2370
34 107 #SUP: 1248
34 110 #SUP: 3944
34 111 #SUP: 1712
34 114 #SUP: 2148
34 116 #SUP: 3130
34 117 #SUP: 1144
36 38 #SUP: 2256
36 39 #SUP: 4556
36 43 #SUP: 1148
36 44 #SUP: 1014
36 48 #SUP: 1728
36 52 #SUP: 3068
36 53 #SUP: 3744
36 56 #SUP: 3528
36 58 #SUP: 2192
36 59 #SUP: 4424
36 61 #SUP: 2228
36 63 #SUP: 4184
36 66 #SUP: 2160
36 67 #SUP: 3160
36 69 #SUP: 1872
36 76 #SUP: 3128
36 77 #SUP: 1872
36 85 #SUP: 6812
36 86 #SUP: 6620
36 90 #SUP: 6464
36 93 #SUP: 3480
36 94 #SUP: 1952
36 95 #SUP: 1296
36 98 #SUP: 1440
36 99 #SUP: 1488
36 101 #SUP: 1632
