1 #SUP: 3916
2 #SUP: 4208
3 #SUP: 3656
6 #SUP: 3152
9 #SUP: 2556
10 #SUP: 3244
23 #SUP: 3376
24 #SUP: 4748
28 #SUP: 3528
34 #SUP: 7914
36 #SUP: 6812
38 #SUP: 2512
39 #SUP: 5612
52 #SUP: 3516
53 #SUP: 4608
56 #SUP: 3776
58 #SUP: 2480
59 #SUP: 5176
63 #SUP: 4936
67 #SUP: 4464
76 #SUP: 4384
85 #SUP: 8124
86 #SUP: 7924
90 #SUP: 7488
93 #SUP: 3968
94 #SUP: 2776
110 #SUP: 4040
116 #SUP: 3148
1 24 #SUP: 3292
1 34 #SUP: 3898
1 36 #SUP: 3804
1 85 #SUP: 3916
1 86 #SUP: 3908
1 90 #SUP: 3808
1 110 #SUP: 2848
2 23 #SUP: 2752
2 28 #SUP: 3408
2 34 #SUP: 4016
2 36 #SUP: 3008
2 39 #SUP: 3920
2 53 #SUP: 2592
2 59 #SUP: 3640
2 63 #SUP: 3400
2 67 #SUP: 2752
2 76 #SUP: 2704
2 85 #SUP: 4208
2 86 #SUP: 4016
2 90 #SUP: 3680
2 93 #SUP: 3152
3 34 #SUP: 3602
3 36 #SUP: 3016
3 39 #SUP: 2632
3 85 #SUP: 3656
3 86 #SUP: 3608
3 90 #SUP: 3464
6 34 #SUP: 3098
6 36 #SUP: 2700
6 85 #SUP: 3152
6 86 #SUP: 3102
6 90 #SUP: 3020
9 85 #SUP: 2556
10 34 #SUP: 3226
10 36 #SUP: 3208
10 85 #SUP: 3244
10 86 #SUP: 3236
10 90 #SUP: 3052
23 34 #SUP: 3376
23 36 #SUP: 3272
23 39 #SUP: 3016
23 59 #SUP: 3232
23 63 #SUP: 3040
23 85 #SUP: 3376
23 86 #SUP: 3376
23 90 #SUP: 3080
23 93 #SUP: 3184
24 34 #SUP: 4538
24 36 #SUP: 3540
24 39 #SUP: 2596
24 53 #SUP: 2496
24 85 #SUP: 4748
24 86 #SUP: 4548
24 90 #SUP: 4408
24 94 #SUP: 2584
24 110 #SUP: 2720
28 34 #SUP: 3336
28 39 #SUP: 3288
28 53 #SUP: 2496
28 59 #SUP: 2920
28 63 #SUP: 2872
28 85 #SUP: 3528
28 86 #SUP: 3328
28 90 #SUP: 2928
34 36 #SUP: 6602
34 38 #SUP: 2512
34 39 #SUP: 5402
34 52 #SUP: 3306
34 53 #SUP: 4608
34 56 #SUP: 3776
34 59 #SUP: 4984
34 63 #SUP: 4744
34 67 #SUP: 4464
34 76 #SUP: 4384
34 85 #SUP: 7914
34 86 #SUP: 7906
34 90 #SUP: 7296
34 93 #SUP: 3776
34 94 #SUP: 2776
34 110 #SUP: 3944
34 116 #SUP: 3130
36 39 #SUP: 4556
36 52 #SUP: 3068
36 53 #SUP: 3744
36 56 #SUP: 3528
36 59 #SUP: 4424
36 63 #SUP: 4184
36 67 #SUP: 3160
36 76 #SUP: 3128
36 85 #SUP: 6812
36 86 #SUP: 6620
36 90 #SUP: 6464
36 93 #SUP: 3480
36 110 #SUP: 3848
36 116 #SUP: 2956
38 85 #SUP: 2512
38 86 #SUP: 2504
38 90 #SUP: 2512
39 52 #SUP: 2828
39 53 #SUP: 2784
39 56 #SUP: 3432
39 59 #SUP: 3592
39 63 #SUP: 3400
39 67 #SUP: 2824
